,ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,h_smiles,ch3_smiles
437,CHEMBL4063095,,,Small molecule,0.0,70.09,1.0,1.0,0.76,17.07,1,0,0,1,Y,0.33,None,None,0.77,0.77,0,MOL,-1.0,5,1,0,0,70.0419,NEUTRAL,C4H6O,C=C(C)C=O,CC=C(C)C=O
438,CHEMBL537970,BUTADIENE,"1,3-Butadiene|Buta-1,3-diene",Small molecule,0.0,54.09,2.0,4.0,1.36,0.00,0,0,0,1,Y,0.40,None,None,1.63,1.63,0,MOL,-1.0,4,0,0,0,54.047,None,C4H6,C=CC=C,CC=CC=C
439,CHEMBL1299388,BUTADIENE EPOXIDE,Butadiene Epoxide,Small molecule,0.0,70.09,2.0,2.0,0.57,12.53,1,0,0,1,Y,0.32,None,None,0.74,0.74,0,MOL,-1.0,5,1,0,0,70.0419,NEUTRAL,C4H6O,C=CC1CO1,CC=CC1CO1
440,CHEMBL170721,METHYLGLYOXAL,2-Oxo-Propionaldehyde,Small molecule,0.0,72.06,2.0,2.0,-0.23,34.14,2,0,0,1,Y,0.32,None,None,0.20,0.20,0,MOL,-1.0,5,2,0,0,72.0211,NEUTRAL,C3H4O2,CC(=O)C=O,CCC(=O)C=O
445,CHEMBL4073377,,,Small molecule,0.0,84.07,1.0,6.0,0.09,37.30,1,1,0,0,Y,0.42,2.44,None,1.02,-2.50,0,MOL,-1.0,6,2,1,0,84.0211,ACID,C4H4O2,CC#CC(=O)O,CCC#CC(=O)O
446,CHEMBL16225,PYRROLE,1H-Pyrrole,Small molecule,0.0,67.09,2.0,3.0,1.01,15.79,0,1,0,0,Y,0.47,None,None,1.05,1.05,1,MOL,-1.0,5,1,1,0,67.0422,NEUTRAL,C4H5N,c1cc[nH]c1,Cc1cc[nH]c1
448,CHEMBL1171859,CYCLOPENTANAMINE,Cyclopentanamine,Small molecule,0.0,85.15,2.0,2.0,0.89,26.02,1,1,0,0,Y,0.46,None,10.45,0.73,-2.01,0,MOL,-1.0,6,1,2,0,85.0891,BASE,C5H11N,NC1CCCC1,C(N)C1CCCC1
450,CHEMBL13782,TERT-BUTYLAMINE,ERBUMINE|NSC-9571|TERT-BUTYLAMINE|TERTIARY-BUTYLAMINE,Small molecule,0.0,73.14,2.0,13.0,0.74,26.02,1,1,0,0,Y,0.45,None,10.65,0.43,-2.40,0,MOL,0.0,5,1,2,0,73.0891,BASE,C4H11N,CC(C)(C)N,CCC(C)(C)N
452,CHEMBL276518,MORPHOLINE,Morpholine,Small molecule,0.0,87.12,5.0,15.0,-0.39,21.26,2,1,0,0,Y,0.43,None,8.51,-0.41,-1.55,0,MOL,-1.0,6,2,1,0,87.0684,BASE,C4H9NO,C1COCCN1,CC1COCCN1
453,CHEMBL2270062,2-methyl-(E)-2-pentenal,,Small molecule,0.0,98.14,8.0,10.0,1.54,17.07,1,0,0,2,Y,0.38,None,None,1.60,1.60,0,MOL,-1.0,7,1,0,0,98.0732,NEUTRAL,C6H10O,CC/C=C(\C)C=O,CCC/C=C(\C)C=O
454,CHEMBL1631346,,Alpha-Hydroxy Glycineamide,Small molecule,0.0,90.08,20.0,53.0,-2.25,89.34,3,3,0,1,N,0.32,12.14,7.39,-2.24,-2.54,0,MOL,-1.0,6,4,5,0,90.0429,NEUTRAL,C2H6N2O2,NC(=O)C(N)O,C(N)C(=O)C(N)O
456,CHEMBL1492874,,,Small molecule,0.0,69.11,3.0,4.0,1.17,23.79,1,0,0,0,Y,0.42,None,None,1.08,1.08,0,MOL,-1.0,5,1,0,0,69.0578,None,C4H7N,CC(C)C#N,CCC(C)C#N
457,CHEMBL4285219,,,Small molecule,0.0,48.04,1.0,1.0,-0.18,17.07,1,0,0,0,Y,0.36,None,None,-0.47,-0.47,0,MOL,-1.0,2,1,0,0,30.0106,None,CH4O2,C=O.O,CC=O.O
458,CHEMBL93112,,,Small molecule,0.0,98.1,1.0,1.0,0.84,26.30,2,0,0,0,Y,0.42,None,None,0.37,0.37,0,MOL,-1.0,7,2,0,0,98.0368,NEUTRAL,C5H6O2,C=C1CCC(=O)O1,CC=C1CCC(=O)O1
460,CHEMBL359703,,,Small molecule,0.0,98.15,4.0,5.0,0.38,38.38,2,1,0,0,Y,0.47,None,11.73,0.03,-2.38,0,MOL,-1.0,7,2,2,0,98.0844,BASE,C5H10N2,CC1CCN=C1N,CCC1CCN=C1N
462,CHEMBL14178,,1-Ethyl-Propylamine,Small molecule,0.0,87.17,1.0,6.0,1.13,26.02,1,1,0,2,Y,0.54,None,10.47,1.19,-1.56,0,MOL,-1.0,6,1,2,0,87.1048,BASE,C5H13N,CCC(N)CC,CCCC(N)CC
463,CHEMBL458630,,,Small molecule,0.0,88.15,3.0,3.0,1.02,20.23,1,1,0,0,Y,0.47,None,None,1.10,1.10,0,MOL,-1.0,6,1,1,0,88.0888,NEUTRAL,C5H12O,CC(C)(C)CO,CCC(C)(C)CO
465,CHEMBL443470,,,Small molecule,0.0,88.15,2.0,2.0,1.02,20.23,1,1,0,1,Y,0.51,None,None,1.14,1.14,0,MOL,-1.0,6,1,1,0,88.0888,NEUTRAL,C5H12O,CC(C)C(C)O,CCC(C)C(C)O
467,CHEMBL293391,,2-Methylimidazole,Small molecule,0.0,82.11,10.0,16.0,0.72,28.68,1,1,0,0,Y,0.49,13.92,7.52,-0.02,-0.34,1,MOL,-1.0,6,2,1,0,82.0531,NEUTRAL,C4H6N2,Cc1ncc[nH]1,CCc1ncc[nH]1
469,CHEMBL3352947,,,Small molecule,0.0,97.12,1.0,2.0,-0.24,29.10,1,1,0,0,Y,0.42,None,None,0.44,0.44,0,MOL,-1.0,7,2,1,0,97.0528,NEUTRAL,C5H7NO,CC#CC(=O)NC,CCC#CC(=O)NC
470,CHEMBL1697714,METHOXYACETIC ACID,Methoxyacetic Acid,Small molecule,0.0,90.08,3.0,4.0,-0.28,46.53,2,1,0,2,Y,0.51,3.83,None,-0.40,-3.65,0,MOL,-1.0,6,3,1,0,90.0317,ACID,C3H6O3,COCC(=O)O,CCOCC(=O)O
471,CHEMBL609099,"N,N-DIMETHYLETHANAMINIUM","N,N-Dimethylethanaminium",Small molecule,0.0,73.14,3.0,4.0,0.57,3.24,1,0,0,1,Y,0.44,None,9.75,0.55,-1.78,0,MOL,-1.0,5,1,0,0,73.0891,BASE,C4H11N,CCN(C)C,CCCN(C)C
472,CHEMBL1609430,METHOXYAMINE HYDROCHLORIDE,METHOXYAMINE HYDROCHLORIDE|NSC-3801,Small molecule,1.0,83.52,5.0,6.0,-0.49,35.25,2,1,0,0,Y,0.37,None,4.32,-0.36,-0.36,0,MOL,0.0,3,2,2,0,47.0371,NEUTRAL,CH6ClNO,CON.Cl,CCON.Cl
474,CHEMBL2270393,PROPYLFORMATE,,Small molecule,0.0,88.11,2.0,4.0,0.57,26.30,2,0,0,3,Y,0.37,None,None,0.75,0.75,0,MOL,-1.0,6,2,0,0,88.0524,None,C4H8O2,CCCOC=O,CCCCOC=O
475,CHEMBL3303586,,,Small molecule,0.0,98.15,,,0.69,27.09,1,1,0,0,Y,0.47,None,12.74,-0.19,-2.61,0,MOL,-1.0,7,2,1,0,98.0844,BASE,C5H10N2,CN1CCCC1=N,CCN1CCCC1=N
476,CHEMBL2009505,,,Small molecule,0.0,88.11,,,-0.50,52.09,1,1,0,0,Y,0.14,4.23,None,-4.16,-2.13,0,MOL,-1.0,6,3,2,0,88.0637,ACID,C3H8N2O,C/C(N)=[N+](/C)[O-],CC/C(N)=[N+](/C)[O-]
479,CHEMBL348107,ACRYLAMIDE,Acrylamide,Small molecule,0.0,71.08,13.0,16.0,-0.34,43.09,1,1,0,1,Y,0.42,None,0.00,-0.27,-0.27,0,MOL,-1.0,5,2,2,0,71.0371,NEUTRAL,C3H5NO,C=CC(N)=O,CC=CC(N)=O
480,CHEMBL451126,,,Small molecule,0.0,76.53,2.0,2.0,1.41,0.00,0,0,0,1,Y,0.33,None,None,1.57,1.57,0,MOL,-1.0,4,0,0,0,76.008,None,C3H5Cl,C=CCCl,CC=CCCl
481,CHEMBL3890375,,,Small molecule,0.0,97.12,1.0,3.0,0.45,44.02,2,1,0,1,Y,0.38,12.19,None,0.35,0.35,0,MOL,-1.0,7,2,1,0,97.0528,NEUTRAL,C5H7NO,C/C=C/[C@@H](O)C#N,CC/C=C/[C@@H](O)C#N
482,CHEMBL3352948,,,Small molecule,0.0,83.09,1.0,2.0,-0.63,29.10,1,1,0,0,Y,0.39,None,None,-0.40,-0.40,0,MOL,-1.0,6,2,1,0,83.0371,NEUTRAL,C4H5NO,C#CC(=O)NC,CC#CC(=O)NC
483,CHEMBL122235,,"1,6-Dihydro-Pyrimidine",Small molecule,0.0,82.11,5.0,19.0,0.13,24.39,2,1,0,0,Y,0.44,None,10.21,-0.38,-2.65,0,MOL,-1.0,6,2,1,0,82.0531,BASE,C4H6N2,C1=CN=CNC1,CC1=CN=CNC1
484,CHEMBL1532013,,,Small molecule,0.0,99.09,4.0,4.0,0.07,50.09,3,0,0,1,Y,0.44,8.98,None,-0.13,-0.14,0,MOL,-1.0,7,3,0,0,99.032,NEUTRAL,C4H5NO2,COC(=O)CC#N,CCOC(=O)CC#N
485,CHEMBL1322495,,,Small molecule,0.0,81.12,5.0,7.0,1.48,23.79,1,0,0,1,Y,0.44,None,None,1.06,1.06,0,MOL,-1.0,6,1,0,0,81.0578,None,C5H7N,C/C=C/CC#N,CC/C=C/CC#N
488,CHEMBL3186458,,,Small molecule,0.0,89.14,,,-0.02,35.25,2,1,0,3,Y,0.49,None,10.14,-0.61,-3.17,0,MOL,-1.0,6,2,2,0,89.0841,BASE,C4H11NO,COCCCN,CCOCCCN
489,CHEMBL406511,DIMETHYLNITRAMIDE,Dimethylnitramide,Small molecule,0.0,90.08,1.0,2.0,-0.26,46.38,2,0,0,1,Y,0.33,None,None,-0.33,-0.33,0,MOL,-1.0,6,4,0,0,90.0429,None,C2H6N2O2,CN(C)[N+](=O)[O-],CCN(C)[N+](=O)[O-]
490,CHEMBL117311,N-NITROSODIMETHYLAMINE,Dimethylnitrosamine|N-N-Dimethyl N Nitrosoamine,Small molecule,0.0,74.08,8.0,161.0,0.23,32.67,2,0,0,1,Y,0.33,None,3.52,0.04,0.04,0,MOL,-1.0,5,3,0,0,74.048,NEUTRAL,C2H6N2O,CN(C)N=O,CCN(C)N=O
491,CHEMBL365809,BUTANEDIONE,"2,3-Butanedione|Butane-2,3-Dione",Small molecule,0.0,86.09,19.0,33.0,0.16,34.14,2,0,0,1,Y,0.43,None,None,0.40,0.40,0,MOL,-1.0,6,2,0,0,86.0368,NEUTRAL,C4H6O2,CC(=O)C(C)=O,CCC(=O)C(C)=O
492,CHEMBL3561468,,,Small molecule,0.0,70.09,,,0.76,17.07,1,0,0,1,Y,0.33,None,None,0.76,0.76,0,MOL,-1.0,5,1,0,0,70.0419,NEUTRAL,C4H6O,CC=CC=O,CCC=CC=O
493,CHEMBL3186070,,,Small molecule,0.0,98.14,,,1.54,17.07,1,0,0,2,Y,0.48,None,None,1.95,1.95,0,MOL,-1.0,7,1,0,0,98.0732,NEUTRAL,C6H10O,CC=CC(=O)CC,CCC=CC(=O)CC
494,CHEMBL3186706,,,Small molecule,0.0,97.16,,,0.95,12.03,1,1,0,4,N,0.41,None,9.16,1.27,-0.48,0,MOL,-1.0,7,1,1,0,97.0891,BASE,C6H11N,C=CCNCC=C,CC=CCNCC=C
497,CHEMBL16502,TERT-BUTANOL,,Small molecule,0.0,74.12,9.0,15.0,0.78,20.23,1,1,0,0,Y,0.45,None,None,0.54,0.54,0,MOL,-1.0,5,1,1,0,74.0732,NEUTRAL,C4H10O,CC(C)(C)O,CCC(C)(C)O
499,CHEMBL37279,,,Small molecule,0.0,91.18,1.0,1.0,0.26,26.02,2,2,0,1,Y,0.44,9.50,10.53,0.01,-1.85,0,MOL,-1.0,5,1,2,0,91.0456,BASE,C3H9NS,C[C@H](N)CS,CC[C@H](N)CS
500,CHEMBL3935635,,,Small molecule,0.0,84.12,1.0,1.0,0.01,24.39,2,1,0,0,Y,0.44,None,10.95,-0.63,-3.02,0,MOL,-1.0,6,2,1,0,84.0687,BASE,C4H8N2,CC1=NCCN1,CCC1=NCCN1
503,CHEMBL2138413,,,Small molecule,0.0,81.12,1.0,1.0,1.48,23.79,1,0,0,1,Y,0.44,None,None,1.59,1.59,0,MOL,-1.0,6,1,0,0,81.0578,None,C5H7N,CC/C=C/C#N,CCC/C=C/C#N
504,CHEMBL1449933,,,Small molecule,0.0,89.09,2.0,2.0,0.67,43.14,2,0,0,2,Y,0.37,9.55,None,0.91,0.91,0,MOL,-1.0,6,3,0,0,89.0477,NEUTRAL,C3H7NO2,CCC[N+](=O)[O-],CCCC[N+](=O)[O-]
505,CHEMBL305268,METHANESULFONAMIDE,Aminosulfane Dioxide|Methanesulfonamide,Small molecule,0.0,95.12,7.0,12.0,-1.10,60.16,2,1,0,0,N,0.42,13.11,None,-1.54,-1.54,0,MOL,-1.0,5,3,2,0,95.0041,NEUTRAL,CH5NO2S,CS(N)(=O)=O,CCS(N)(=O)=O
507,CHEMBL17564,METHANE,Methane,Small molecule,0.0,16.04,2.0,8.0,0.64,0.00,0,0,0,0,Y,0.36,None,None,1.08,1.08,0,MOL,-1.0,1,0,0,0,16.0313,None,CH4,C,CC
508,CHEMBL177481,,3-Fluoro-Pentane,Small molecule,0.0,90.14,1.0,1.0,2.14,0.00,0,0,0,2,Y,0.49,None,None,2.19,2.19,0,MOL,-1.0,6,0,0,0,90.0845,None,C5H11F,CCC(F)CC,CCCC(F)CC
510,CHEMBL1729186,,,Small molecule,0.0,87.12,,,1.25,32.59,2,1,0,2,Y,0.31,11.34,3.43,0.77,0.77,0,MOL,-1.0,6,2,1,0,87.0684,NEUTRAL,C4H9NO,CCCC=NO,CCCCC=NO
511,CHEMBL1962624,,,Small molecule,0.0,76.07,,,-0.11,49.87,1,2,0,1,Y,0.33,None,8.49,-0.89,-1.99,0,MOL,-1.0,5,2,3,0,76.0437,NEUTRAL,C2H5FN2,N=C(N)CF,N=C(N)C(F)C
512,CHEMBL1884429,,,Small molecule,0.0,81.12,3.0,3.0,1.48,23.79,1,0,0,0,Y,0.40,None,None,1.54,1.54,0,MOL,-1.0,6,1,0,0,81.0578,None,C5H7N,C/C=C(/C)C#N,CC/C=C(/C)C#N
513,CHEMBL3951138,,,Small molecule,0.0,69.11,1.0,1.0,0.29,26.02,1,1,0,1,Y,0.44,None,9.28,0.34,-1.51,0,MOL,-1.0,5,1,2,0,69.0578,BASE,C4H7N,C=C=CCN,CC=C=CCN
517,CHEMBL3183438,,,Small molecule,0.0,90.19,,,1.71,0.00,1,1,0,1,Y,0.47,10.10,None,1.92,1.92,0,MOL,-1.0,5,0,0,0,90.0503,NEUTRAL,C4H10S,CCC(C)S,CCCC(C)S
518,CHEMBL174324,,"Propane-1,3-Diamine",Small molecule,0.0,74.13,5.0,15.0,-0.71,52.04,2,2,0,2,Y,0.45,None,10.17,-1.36,-5.00,0,MOL,-1.0,5,2,4,0,74.0844,BASE,C3H10N2,NCCCN,C(N)CCCN
520,CHEMBL15537,DIMETHOXYMETHANE,Dimethoxy-Methane,Small molecule,0.0,76.09,1.0,1.0,0.24,18.46,2,0,0,2,Y,0.44,None,None,0.19,0.19,0,MOL,-1.0,5,2,0,0,76.0524,NEUTRAL,C3H8O2,COCOC,CCOCOC
521,CHEMBL16081,ACETAMIDE,Acetamide,Small molecule,0.0,59.07,21.0,713.0,-0.51,43.09,1,1,0,0,Y,0.40,None,None,-1.03,-1.03,0,MOL,-1.0,4,2,2,0,59.0371,NEUTRAL,C2H5NO,CC(N)=O,CCC(N)=O
522,CHEMBL1135,DIMETHYLAMINOETHANOL,"DIMETHYLAMINOETHANOL|DMAE|N,N-Dimethylaminoethanol (Dmae)",Small molecule,2.0,89.14,7.0,8.0,-0.46,23.47,2,1,0,2,Y,0.49,None,9.03,-0.50,-2.13,0,MOL,0.0,6,2,1,0,89.0841,BASE,C4H11NO,CN(C)CCO,CCN(C)CCO
523,CHEMBL1361659,,,Small molecule,0.0,98.14,4.0,4.0,1.33,12.53,1,0,0,0,Y,0.42,None,None,1.37,1.37,0,MOL,-1.0,7,1,0,0,98.0732,NEUTRAL,C6H10O,C1CCC2OC2C1,CC1CCC2OC2C1
524,CHEMBL1618272,,,Small molecule,0.0,70.09,18.0,53.0,-0.14,49.81,2,1,0,1,Y,0.47,None,7.85,-0.85,-1.43,0,MOL,-1.0,5,2,2,0,70.0531,NEUTRAL,C3H6N2,N#CCCN,N#CCC(N)C
525,CHEMBL119178,METHOXYMETHANE,Methoxymethane,Small molecule,0.0,46.07,1.0,1.0,0.26,9.23,1,0,0,0,Y,0.38,None,None,0.12,0.12,0,MOL,-1.0,3,1,0,0,46.0419,NEUTRAL,C2H6O,COC,CCOC
526,CHEMBL66693,D-ALANINE,D-Alanine,Small molecule,0.0,89.09,16.0,20.0,-0.58,63.32,2,2,0,1,N,0.45,2.47,9.48,-2.84,-2.84,0,MOL,-1.0,6,3,3,0,89.0477,ZWITTERION,C3H7NO2,C[C@@H](N)C(=O)O,CC[C@@H](N)C(=O)O
527,CHEMBL3945274,,,Small molecule,0.0,91.54,1.0,1.0,0.70,26.02,1,1,0,1,Y,0.51,None,9.62,0.42,-1.74,0,MOL,-1.0,5,1,2,0,91.0189,BASE,C3H6ClN,NC/C=C\Cl,C(N)C/C=C\Cl
528,CHEMBL1229937,DIHYDROXYACETONE,DIHYDROXYACETONE|VITADYE,Small molecule,4.0,90.08,2.0,63.0,-1.46,57.53,3,2,0,2,Y,0.44,13.50,None,-1.53,-1.53,0,MOL,0.0,6,3,2,0,90.0317,NEUTRAL,C3H6O3,O=C(CO)CO,O=C(CO)C(O)C
529,CHEMBL1608558,,,Small molecule,0.0,57.05,4.0,5.0,-0.05,29.43,2,0,0,0,Y,0.28,None,None,-0.04,-0.04,0,MOL,-1.0,4,2,0,0,57.0215,None,C2H3NO,CN=C=O,CCN=C=O
530,CHEMBL14152,ETHYL ACETATE,E1504|ETHYL ACETATE,Small molecule,0.0,88.11,18.0,39.0,0.57,26.30,2,0,0,1,Y,0.44,None,None,0.28,0.28,0,MOL,0.0,6,2,0,0,88.0524,NEUTRAL,C4H8O2,CCOC(C)=O,CCCOC(C)=O
531,CHEMBL156852,,"2,2-Difluoro-Acetamide",Small molecule,0.0,95.05,2.0,2.0,-0.26,43.09,1,1,0,1,Y,0.48,10.67,None,-0.62,-0.62,0,MOL,-1.0,6,2,2,0,95.0183,NEUTRAL,C2H3F2NO,NC(=O)C(F)F,C(N)C(=O)C(F)F
532,CHEMBL3184952,,,Small molecule,0.0,86.13,1.0,2.0,0.94,20.23,1,1,0,1,Y,0.47,None,None,0.84,0.84,0,MOL,-1.0,6,1,1,0,86.0732,NEUTRAL,C5H10O,CC(C)=CCO,CCC(C)=CCO
533,CHEMBL1506228,,,Small molecule,0.0,84.12,6.0,8.0,1.15,17.07,1,0,0,2,Y,0.46,None,None,1.56,1.56,0,MOL,-1.0,6,1,0,0,84.0575,NEUTRAL,C5H8O,C=CC(=O)CC,CC=CC(=O)CC
534,CHEMBL104083,,2-Methylamino-Ethanol,Small molecule,0.0,75.11,2.0,2.0,-0.80,32.26,2,2,0,2,Y,0.45,None,9.81,-0.88,-3.24,0,MOL,-1.0,5,2,2,0,75.0684,BASE,C3H9NO,CNCCO,CCNCCO
535,CHEMBL142735,,"2,2-Dimethyl-Butane|2,2-Dimethylbutane",Small molecule,0.0,86.18,3.0,7.0,2.44,0.00,0,0,0,0,Y,0.42,None,None,2.83,2.83,0,MOL,-1.0,6,0,0,0,86.1096,None,C6H14,CCC(C)(C)C,CCCC(C)(C)C
536,CHEMBL156455,"1,1-DICHLOROETHENE","1,1-Dichloro-Ethene",Small molecule,0.0,96.94,109.0,537.0,1.94,0.00,0,0,0,0,Y,0.43,None,None,1.86,1.86,0,MOL,-1.0,4,0,0,0,95.9534,None,C2H2Cl2,C=C(Cl)Cl,CC=C(Cl)Cl
538,CHEMBL501668,,(R)-2-(Fluoromethyl)Oxirane,Small molecule,0.0,76.07,1.0,1.0,0.35,12.53,1,0,0,1,Y,0.41,None,None,0.21,0.21,0,MOL,-1.0,5,1,0,0,76.0324,NEUTRAL,C3H5FO,FC[C@H]1CO1,C(F)C[C@H]1CO1
539,CHEMBL170365,ACETALDEHYDE,Acetaldehyde,Small molecule,0.0,44.05,12.0,16.0,0.21,17.07,1,0,0,0,Y,0.36,None,None,-0.38,-0.38,0,MOL,-1.0,3,1,0,0,44.0262,NEUTRAL,C2H4O,CC=O,CCC=O
540,CHEMBL1344453,,,Small molecule,0.0,86.18,6.0,7.0,2.30,0.00,0,0,0,1,Y,0.46,None,None,2.82,2.82,0,MOL,-1.0,6,0,0,0,86.1096,None,C6H14,CC(C)C(C)C,CCC(C)C(C)C
545,CHEMBL816,ETHYLENEDIAMINE,EDAMINE|ETHYLENEDIAMINE,Small molecule,3.0,60.1,13.0,30.0,-1.10,52.04,2,2,0,1,Y,0.40,None,9.69,-1.42,-3.78,0,MOL,0.0,4,2,4,0,60.0687,BASE,C2H8N2,NCCN,C(N)CCN
547,CHEMBL2448851,,,Small molecule,0.0,57.1,1.0,1.0,-0.07,3.01,1,0,0,0,Y,0.35,None,6.76,0.02,-0.07,0,MOL,-1.0,4,1,0,0,57.0578,NEUTRAL,C3H7N,CN1CC1,CCN1CC1
548,CHEMBL274120,,Diethyl-Cyanamide,Small molecule,0.0,98.15,3.0,3.0,0.81,27.03,2,0,0,2,Y,0.38,None,None,0.88,0.88,0,MOL,-1.0,7,2,0,0,98.0844,None,C5H10N2,CCN(C#N)CC,CCCN(C#N)CC
549,CHEMBL1162282,"2,2,2-TRIFLUOROETHANAMINIUM","2,2,2-Trifluoroethanaminium",Small molecule,0.0,99.06,1.0,2.0,0.51,26.02,1,1,0,0,Y,0.47,None,5.25,0.33,0.33,0,MOL,-1.0,6,1,2,0,99.0296,NEUTRAL,C2H4F3N,NCC(F)(F)F,C(N)CC(F)(F)F
550,CHEMBL2448976,,,Small molecule,0.0,87.17,1.0,1.0,0.96,3.24,1,0,0,2,Y,0.48,None,9.87,1.07,-1.37,0,MOL,-1.0,6,1,0,0,87.1048,BASE,C5H13N,CCCN(C)C,CCCCN(C)C
551,CHEMBL98596,,,Small molecule,0.0,98.15,1.0,1.0,0.39,24.06,2,2,0,1,Y,0.50,None,5.82,0.32,0.31,0,MOL,-1.0,7,2,2,0,98.0844,NEUTRAL,C5H10N2,CCC1NC=CN1,CCCC1NC=CN1
552,CHEMBL555660,CHLOROPRENE,Chloroprene,Small molecule,0.0,88.54,2.0,2.0,1.92,0.00,0,0,0,1,Y,0.43,None,None,1.87,1.87,0,MOL,-1.0,5,0,0,0,88.008,None,C4H5Cl,C=CC(=C)Cl,CC=CC(=C)Cl
555,CHEMBL86954,AMINOMETHYLAMIDE,2-Amino-Acetamide,Small molecule,0.0,74.08,1.0,1.0,-1.57,69.11,2,2,0,1,N,0.39,None,8.15,-1.95,-2.77,0,MOL,-1.0,5,3,4,0,74.048,NEUTRAL,C2H6N2O,NCC(N)=O,C(N)CC(N)=O
556,CHEMBL451923,,,Small molecule,0.0,88.15,2.0,2.0,1.02,20.23,1,1,0,2,Y,0.53,None,None,1.17,1.17,0,MOL,-1.0,6,1,1,0,88.0888,NEUTRAL,C5H12O,CCC(C)CO,CCCC(C)CO
558,CHEMBL444144,2-METHOXYETHANOL,2-Methoxyethanol,Small molecule,0.0,76.09,58.0,58.0,-0.37,29.46,2,1,0,2,Y,0.49,None,None,-0.57,-0.57,0,MOL,-1.0,5,2,1,0,76.0524,NEUTRAL,C3H8O2,COCCO,CCOCCO
559,CHEMBL12543,METHYLPYRROLIDONE,1-METHYLPYRROLIDONE|METHYLPYRROLIDONE|N-METHYL-PYRROLIDONE|N-METHYLPYRROLIDONE|N-Methyl Pyrrolidinone|NSC-4594,Small molecule,1.0,99.13,9.0,20.0,0.24,20.31,1,0,0,0,Y,0.43,None,None,-0.36,-0.36,0,MOL,0.0,7,2,0,0,99.0684,NEUTRAL,C5H9NO,CN1CCCC1=O,CCN1CCCC1=O
560,CHEMBL117822,ETHYLENE,ETHYLENE,Small molecule,3.0,28.05,3.0,6.0,0.80,0.00,0,0,0,0,Y,0.34,None,None,1.11,1.11,0,MOL,0.0,2,0,0,0,28.0313,None,C2H4,C=C,CC=C
565,CHEMBL16264,ETHER,DIETHYL ETHER|ETHER|ETHYL ETHER|ETHYL OXIDE|NSC-100036,Small molecule,2.0,74.12,4.0,16.0,1.04,9.23,1,0,0,2,Y,0.48,None,None,0.84,0.84,0,MOL,0.0,5,1,0,0,74.0732,NEUTRAL,C4H10O,CCOCC,CCCOCC
569,CHEMBL1901974,,,Small molecule,0.0,58.08,1.0,1.0,0.41,12.53,1,0,0,0,Y,0.37,None,None,0.37,0.37,0,MOL,-1.0,4,1,0,0,58.0419,NEUTRAL,C3H6O,C[C@@H]1CO1,CC[C@@H]1CO1
570,CHEMBL317004,,,Small molecule,0.0,70.1,1.0,1.0,-0.39,24.06,2,2,0,0,Y,0.41,None,5.71,-0.54,-0.55,0,MOL,-1.0,5,2,2,0,70.0531,NEUTRAL,C3H6N2,C1=CNCN1,CC1=CNCN1
571,CHEMBL4101963,,,Small molecule,0.0,98.14,1.0,1.0,1.54,17.07,1,0,0,1,Y,0.45,None,None,1.64,1.64,0,MOL,-1.0,7,1,0,0,98.0732,NEUTRAL,C6H10O,C/C=C(/C)C(C)=O,CC/C=C(/C)C(C)=O
574,CHEMBL16070,FLUOROBENZENE,Fluorobenzene,Small molecule,0.0,96.1,4.0,12.0,1.83,0.00,0,0,0,0,Y,0.46,None,None,2.12,2.12,1,MOL,-1.0,7,0,0,0,96.0375,None,C6H5F,Fc1ccccc1,C(F)c1ccccc1
576,CHEMBL191244,2-CHLOROETHANOL,2-Chloroethanol,Small molecule,0.0,80.51,2.0,2.0,0.22,20.23,1,1,0,1,Y,0.45,None,None,0.15,0.15,0,MOL,-1.0,4,1,1,0,80.0029,NEUTRAL,C2H5ClO,OCCCl,C(O)CCCl
578,CHEMBL160508,,,Small molecule,0.0,90.55,3.0,3.0,2.15,0.00,0,0,0,0,Y,0.43,None,None,2.05,2.05,0,MOL,-1.0,5,0,0,0,90.0236,None,C4H7Cl,CC(C)=CCl,CCC(C)=CCl
580,CHEMBL116020,,"1,1-Difluoro-Ethene",Small molecule,0.0,64.03,1.0,1.0,1.40,0.00,0,0,0,0,Y,0.40,None,None,1.29,1.29,0,MOL,-1.0,4,0,0,0,64.0125,None,C2H2F2,C=C(F)F,CC=C(F)F
581,CHEMBL2448942,,,Small molecule,0.0,98.15,1.0,1.0,0.46,27.03,2,0,0,2,Y,0.50,None,6.92,-0.04,-0.16,0,MOL,-1.0,7,2,0,0,98.0844,NEUTRAL,C5H10N2,CN(C)CCC#N,CCN(C)CCC#N
582,CHEMBL44658,AMYLENE HYDRATE,AMYLENE HYDRATE,Small molecule,0.0,88.15,7.0,9.0,1.17,20.23,1,1,0,1,Y,0.51,None,None,1.06,1.06,0,MOL,0.0,6,1,1,0,88.0888,NEUTRAL,C5H12O,CCC(C)(C)O,CCCC(C)(C)O
